Gene,Accession,Chromosome,End,Start,Strand,fit_alpha,fit_beta,fit_gamma,fit_U_switch,fit_likelihood,fit_scaling
Knstrn,Knstrn,2,118836212,118814003,+,12.910665032911853,0.030610587176897144,0.03765797410298107,417.553518614939,0.6445590453073221,27.368483324007386
Slc2a3,Slc2a3,6,122742745,122727809,-,7.7294868949232365,0.05348827765890728,0.06180792695109786,143.06297306433652,0.7615086469085585,46.99328816046642
Nell2,Nell2,15,95528706,95219450,-,7.708392662777884,0.011108725027562934,0.018542684013120918,682.1530475189843,0.9209089115237322,1.8879731287200716
Col5a2,Col5a2,1,45503282,45374331,-,2.6732863470663077,0.014353117919110737,0.019679772377694964,184.38875082826706,0.7744517061618611,5.438260843404731
Id2,Id2,12,25096092,25093799,-,33.95300447514886,0.059817426111467197,0.1125372906707417,561.9344832350378,0.6658036940511494,30.548516723920287
Ptprn,Ptprn,1,75264208,75247041,-,2.4379081127013946,0.017236420366667973,0.020893311252860574,140.02495763225272,0.8676464104254804,4.590839302874037
Slc38a4,Slc38a4,15,97055956,96994823,-,7.229829764703513,0.0176634592716207,0.04376670847129071,405.2168579773186,0.7670852081819758,10.821519756613952
Gap43,Gap43,16,42340651,42248561,-,14.535126486693326,0.016498367690432055,0.021327219365222756,872.193873468555,0.6198556052738763,10.255911687979705
Lama4,Lama4,10,39110188,38965515,+,52.82550517715015,0.0653112615196002,0.25718210460489155,800.7386308054088,1.5648197838343905,8.036744583554563
S1pr2,S1pr2,9,20976793,20965952,-,16.82800471952826,0.056916862158303175,0.06623792678958781,292.7027956319376,0.8273655617392816,40.489629602487526
Syt1,Syt1,10,109010975,108497650,-,36.46778419233046,0.043344585420026616,0.18363659004128863,832.9323259307572,1.3191532638197283,0.9407736338367357
Vim,Vim,2,13582826,13574311,+,41.77959116320386,0.01916907636361352,0.03078256380257739,2157.7354311178087,0.5983273339613182,122.75230664809794
Sez6,Sez6,11,77979042,77930943,+,15.542019769636623,0.04488728301915398,0.09276819673585579,342.7830453755599,0.7908929877920897,14.853650739992212
Irf6,Irf6,1,193172035,193153112,+,16.339085366211936,0.09048796120362533,0.12976253919739655,178.76073565354847,1.0936423559140702,13.698210664728641
Pbk,Pbk,14,65817822,65805911,+,,,,,0,0
Fos,Fos,12,85477270,85473901,+,3.306564046838183,0.03135754775698915,0.029115572443931915,104.3926786539035,0.5668920018300466,25.92118423909738
Mcam,Mcam,9,44142726,44134658,+,14.59370046843592,0.059975229290036236,0.06653544249390872,240.89551027613638,1.3075275386346477,47.77142799728834
Tanc2,Tanc2,11,105929303,105589986,+,70.79839635989802,0.12368613226307733,0.22945520445667328,566.6796358965973,0.7897880131654639,0.7109019697399985
Syn2,Syn2,6,115282626,115134902,+,32.6757854514211,0.09709988390118851,0.35133806053468614,333.1520728678331,1.145054243568227,2.950028626653662
Ivd,Ivd,2,118881357,118862000,+,33.72266009624798,0.07702107788787663,0.19569356422142406,433.4584039954143,1.1493807918141594,7.220778066008073
Sox8,Sox8,17,25570686,25565893,-,21.34000070281753,0.07750721122192816,0.17626386390831975,272.57593664797304,1.4318594332092962,22.65843449700996
Col3a1,Col3a1,1,45349706,45311538,+,19.785122122817647,0.10015644750893804,0.10916030477655093,195.56674970766596,0.9526719106389929,45.78951388916296
Atp6v1b2,Atp6v1b2,8,69113717,69088736,+,38.89631972711213,0.06780896342296341,0.07410843542926931,567.8800351164274,0.7669184413998517,10.249882747802479
Spc25,Spc25,2,69206190,69193895,-,13.3516194047455,0.048022610850924304,0.05194197587827204,275.24749230587975,1.0094687380085487,26.549921635568253
Penk,Penk,4,4138445,4133536,-,5.385545300708688,0.024609517542539847,0.023767888638806214,216.6515389212843,0.6731003177533095,34.952312120200915
Slc31a1,Slc31a1,4,62391769,62360701,+,7.684718860296672,0.018717236394554974,0.04092000671035939,406.46340684711924,0.6908571698515471,16.020124506477273
Capn6,Capn6,X,143827412,143802237,-,21.682979995599837,0.08288068266675763,0.09367845381826738,259.00064411816953,0.5910238864292682,31.889034869425686
Ckap2l,Ckap2l,2,129297212,129268210,-,,,,,0,0
Tmem130,Tmem130,5,144761578,144735915,-,13.99967152726919,0.05841741955115667,0.09897719483473033,237.25243118380902,1.0202670358066888,23.323265674355074
Gja1,Gja1,10,56390419,56377300,+,,,,,0,0
Itga4,Itga4,2,79333114,79255426,+,,,,,0,0
Erbb3,Erbb3,10,128589501,128569368,-,9.156997497896166,0.06271767802658634,0.08548656157343162,144.54341755245343,1.1931367819561551,8.696269369862556
Cyth3,Cyth3,5,143710248,143622447,+,51.77254738104601,0.06701848552766848,0.2403288648805255,764.7863347505081,1.1021187972873723,6.180247035308916
Shcbp1,Shcbp1,8,4779534,4735980,-,4.429057177758789,0.027024187555910566,0.017896360281969417,162.25341083462808,0.812658711051464,36.92216188197378
Lrrn3,Lrrn3,12,41486057,41451668,-,4.006200643267453,0.03932570012333185,0.05094047619794622,100.8536052605883,0.5996440518851249,10.201333167233042
Arl6ip1,Arl6ip1,7,118129625,118118890,-,67.47594749194951,0.09563868436851101,0.10671457119084889,698.4745603529473,0.4943120991180747,106.0492418164012
Ngfr,Ngfr,11,95587698,95568821,-,43.25298921965264,0.07378254530600017,0.17247954911943103,580.3602891424491,1.46264516550178,56.473402737543296
Arnt2,Arnt2,7,84409959,84246279,-,3.304577379011872,0.02461759229958732,0.03214342660237699,132.89405257055117,0.7322970036718169,1.463768304361521
Ets1,Ets1,9,32757820,32696042,+,34.238205149183386,0.10775173849601985,0.2943778313687734,314.5733291249273,1.363973856161203,7.486171486654059
Peg10,Peg10,6,4760516,4747306,+,10.908995831450277,0.038760820375989706,0.05008121309914864,278.629445103947,0.6400650028422431,40.56533499654528
Trpc3,Trpc3,3,36690167,36620482,-,7.21736673916053,0.03648555323868477,0.05851856777695082,195.8362266025076,1.8626483439414512,0.6053325101100586
St18,St18,1,6860940,6487231,+,18.631194518018894,0.03767329788466237,0.14229709353935513,489.6009536862984,1.3420160710980575,3.3870272524962006
Mcm4,Mcm4,16,15637400,15623897,-,17.76688105978425,0.08473617499266133,0.09577603390737444,207.57618869048244,0.8416175608457216,42.30294862400004
C2cd4a,C2cd4a,9,67832330,67830532,-,5.492011371806906,0.03966205957319185,0.05008547205144292,116.78201581666531,0.9824021799711857,30.102363508646143
Rgs5,Rgs5,1,169693526,169655501,+,,,,,0,0
Arhgef28,Arhgef28,13,98206165,97898595,-,4.815921824038915,0.03889374401323314,0.05112914204095136,122.58430569647268,0.8445591715236992,0.67303093767035
S100a16,S100a16,3,90543151,90541223,+,6.013929464789198,0.021904035572651217,0.03310230235389418,271.8124772210947,0.5784955962696309,119.65483769952797
Pmp22,Pmp22,11,63159546,63131510,+,,,,,0,0
Sox6,Sox6,7,116038744,115471344,-,2.7040549183895863,0.015336080010236775,0.02114932679235425,174.55662512316013,0.6895735021144509,0.3265543227877825
Anxa5,Anxa5,3,36475887,36448924,-,35.00758515013186,0.09433428194471825,0.12332396427967644,367.3903970450586,0.6128357464541881,43.804838461493176
Chrnb4,Chrnb4,9,55048544,55028156,-,2.095956761070427,0.02024577969042725,0.021596930080294723,102.49035725904086,0.7679133389794655,9.6265864253861
Hmmr,Hmmr,11,40733437,40701388,-,17.846279507121466,0.04822134533722537,0.08116265938331127,366.389958399009,0.9822138338137801,26.483091192357023
Plcb4,Plcb4,2,136013068,135741830,+,1.7232930737732253,0.015267796336451141,0.018564460266180173,111.74239591881084,0.8502852536397713,0.6981737118309737
Dcx,Dcx,X,143933219,143855842,-,13.317926531334834,0.046789097755889145,0.09760988191188408,254.31187586533866,0.9702661203851344,11.025500762264556
Smc2,Smc2,4,52488259,52439249,+,28.45780596952345,0.08237599656484766,0.08999686276842994,342.00773386273767,0.7536321119061755,22.995379393183338
Kif22,Kif22,7,127042420,127027731,-,7.3634869608284435,0.026939209836771418,0.03186127588733406,258.5680239164227,0.6820424088848522,17.206474260054975
Slc35d3,Slc35d3,10,19851459,19847917,-,1.0558289547421569,0.012956230138562569,0.012821077966108074,80.67706840770143,1.2290681297207695,9.501882777137197
Nid2,Nid2,14,19811787,19751257,+,14.343500493477078,0.10659361489325087,0.1393590819551939,133.21684889627855,1.2572255514924358,13.793210128064622
Wwtr1,Wwtr1,3,57575910,57455644,-,36.63971566094978,0.10570645896571045,0.38975751395812347,343.1513916865458,2.173828618838035,4.071248123878551
Cnp,Cnp,11,100581739,100574939,+,35.59382869376252,0.15585253496991305,0.14794981669412477,216.15471479362063,0.8738576352141485,55.82570615561595
Anxa2,Anxa2,9,69491785,69453683,+,,,,,0,0
Heyl,Heyl,4,123249870,123233556,+,4.544643785937857,0.06058816162934924,0.04508230243109362,74.25868729278365,0.8680301071749698,22.634954104000954
Gfra3,Gfra3,18,34720387,34689903,-,10.350312856836133,0.059136546980334034,0.09840436806015804,173.27372414347033,0.9672084975378479,10.61584361099931
Pdlim3,Pdlim3,8,45919546,45885485,+,4.481576152332758,0.04012804385121421,0.043064524682832464,110.56508030294084,0.851313473677824,7.019652175027945
Slc7a14,Slc7a14,3,31310319,31202856,-,13.630170188118575,0.12651939334293477,0.1604695687400811,106.65454622961902,1.3441851222734973,1.2152573701119707
Plk1,Plk1,7,122169875,122159437,+,,,,,0,0
Ptger3,Ptger3,3,157644758,157566892,+,3.1157725615382503,0.04126371681241276,0.05622262788817778,74.75368372523748,0.9313482879188907,0.7116173435713495
Pcna,Pcna,2,132253180,132249286,-,64.237609373515,0.16652778905153295,0.40085772141079745,381.8896151926928,1.0526933238531728,24.776736505571357
Trim16,Trim16,11,62842948,62820253,+,,,,,0,0
Pttg1,Pttg1,11,43426248,43420248,-,4.80623071497829,0.03082106666240288,0.01582245769709195,140.48711842748222,0.8226744969611388,30.671365464266422
Ccne1,Ccne1,7,38107490,38097984,-,10.18834934918308,0.040774022470457964,0.04343180864139273,247.3748049508533,0.6212261168495155,29.273809268398626
Dtl,Dtl,1,191575534,191537365,-,28.11873789636169,0.06540537579296891,0.2973729350657613,425.6156344933135,1.625490273985907,12.272673575963893
Aspm,Aspm,1,139494088,139454773,+,,,,,0,0
Fbln1,Fbln1,15,85286294,85206008,+,6.289239139232102,0.00803324509412583,0.014805450918919067,775.0724240186183,0.9760541190208687,3.9364282897365364
Car12,Car12,9,66766845,66713686,+,8.512997854512568,0.08039300979349427,0.08707384828199924,104.83334182432188,0.8245178387674339,2.065737076155994
Ldha,Ldha,7,46855627,46845804,+,34.703409105288614,0.0852711223863108,0.07347035990258866,402.907503182475,0.4270146324342833,46.18220797171698
Plxna4,Plxna4,6,32588192,32144557,-,8.984322343359,0.015511403475771327,0.045833884521677734,573.4154961424675,0.6811094203773085,1.0612580876337323
Pcp4,Pcp4,16,96525793,96467606,+,2.6703158592232015,0.02640016569196269,0.03040906183809291,100.13621624487742,0.655436740662036,15.692220527414763
Prkcb,Prkcb,7,122634401,122289125,+,8.247413842518972,0.04311879992337246,0.05476538943142379,189.3591593134296,0.7219273750209314,0.9713706712946906
Mef2c,Mef2c,13,83667079,83504034,+,6.057811273626119,0.04954927553327036,0.05617465907122741,121.03573859244331,0.8086320004819216,1.6539519692719145
Kif11,Kif11,19,37421859,37376403,+,7.341494939340831,0.04418585860578009,0.03663740582002245,151.77818275445293,0.9260731124864188,10.055459146381324
Slc40a1,Slc40a1,1,45925594,45908070,-,2.1849986825004817,0.03588829847772492,0.030736350280727805,60.274484649031095,0.6751029340430942,9.769929807155435
Tubb3,Tubb3,8,123422010,123411564,+,25.510810774715445,0.02553660660657426,0.033773583254690646,988.9999503875487,1.0709122312614054,40.16754968257587
Enpp2,Enpp2,15,54920146,54838898,-,1.734943492437802,0.024070944059282562,0.026415042770296337,71.35549205229707,0.49872655269227656,4.049573064914243
Dut,Dut,2,125259049,125247248,+,6.948748745124838,0.026847969026677566,0.03250348345507815,256.23022921540144,0.6581826514843381,32.390555615083805
Akap12,Akap12,10,4359471,4266329,+,4.1509919959541905,0.020542612709228917,0.023265212235278287,200.0467094503726,0.7441819903968017,4.985527948017948
Lima1,Lima1,15,99875456,99778468,-,51.94733566329639,0.06607083891343704,0.2858248134617654,778.3745923680768,1.096780235933966,20.055527529557494
Gsn,Gsn,2,35307902,35256359,+,5.412070369651722,0.037904381648225766,0.03989588084340331,141.35436150047315,0.6923607590540884,19.845113520761785
Fabp7,Fabp7,10,57788450,57784923,+,12.662358343439015,0.05285230624018101,0.05346618671038509,232.30099403267343,1.0631521767535959,33.42220389122183
